surface,reading,pos,frequency
空,ソラ,名詞-普通名詞-一般,2
私,ワタクシ,代名詞,2
いえ,イエ,感動詞-一般,2
知り合い,シリアイ,名詞-普通名詞-一般,2
思っ,オモッ,動詞-一般,2
白衣,ハクイ,名詞-普通名詞-一般,2
あした,アシタ,名詞-普通名詞-副詞可能,2
悲鳴,ヒメー,名詞-普通名詞-一般,2
扉,トビラ,名詞-普通名詞-一般,2
持っ,モッ,動詞-一般,2
生え,ハエ,動詞-一般,2
無い,ナイ,形容詞-非自立可能,2
探し,サガシ,動詞-一般,2
気,キ,名詞-普通名詞-一般,2
木,キ,名詞-普通名詞-一般,2
家,イエ,名詞-普通名詞-一般,2
子,コ,名詞-普通名詞-一般,2
続け,ツズケ,動詞-非自立可能,2
ああ,アー,感動詞-一般,2
本当,ホントー,名詞-普通名詞-一般,2
何者,ナニモノ,名詞-普通名詞-一般,2
信じ,シンジ,動詞-一般,2
診,ミ,動詞-非自立可能,2
側,ガワ,名詞-普通名詞-一般,2
元,モト,名詞-普通名詞-一般,2
出来る,デキル,動詞-非自立可能,2
許し,ユルシ,動詞-一般,2
分から,ワカラ,動詞-一般,2
分かる,ワカル,動詞-一般,2
半鐘,ハンショー,名詞-普通名詞-一般,2
置い,オイ,動詞-非自立可能,2
取っ,トッ,動詞-一般,2
取り,トリ,動詞-一般,2
行っ,イッ,動詞-非自立可能,2
名前,ナマエ,名詞-普通名詞-一般,2
行く,イク,動詞-非自立可能,2
葉,ハ,名詞-普通名詞-一般,2
坊主,ボーズ,名詞-普通名詞-一般,2
夢,ユメ,名詞-普通名詞-一般,2
者,シャ,接尾辞-名詞的-一般,2
大声,オーゴエ,名詞-普通名詞-一般,2
が,ガ,助詞-接続助詞,2
一,イチ,名詞-数詞,2
っ,,補助記号-一般,2
ううん,ウーン,感動詞-一般,2
のっ,ノッ,動詞-一般,2
の,ノ,助詞-終助詞,2
だけ,ダケ,助詞-副助詞,2
ござい,ゴザイ,動詞-非自立可能,2
ねぇ,ネー,助詞-終助詞,2
なんて,ナンテ,助詞-副助詞,2
さ,サ,接尾辞-名詞的-一般,2
っから,ッカラ,助詞-格助詞,2
なく,ナク,助動詞,2
え,エ,感動詞-フィラー,2
さん,サン,接尾辞-名詞的-一般,2
し,シ,助詞-接続助詞,2
げ,ゲ,接尾辞-形状詞的,2
ずっと,ズット,副詞,2
しれ,シレ,動詞-一般,2
でき,デキ,動詞-非自立可能,2
しろ,シロ,動詞-非自立可能,2
でしょ,デショ,助動詞,2
とこ,トコ,名詞-普通名詞-一般,2
うめ,ウメ,名詞-固有名詞-人名-名,2
とき,トキ,名詞-普通名詞-副詞可能,2
すっ,スッ,副詞,2
と,ト,助詞-接続助詞,2
じゃあ,ジャー,助詞-格助詞,2
そん,ソン,代名詞,2
すぐ,スグ,副詞,2
くっそ,クッソ,感動詞-一般,2
いき,イキ,動詞-非自立可能,2
ぞ,ゾ,助詞-終助詞,2
きっと,キット,副詞,2
くる,クル,動詞-非自立可能,2
くそ,クソ,感動詞-一般,2
ほしい,ホシー,形容詞-非自立可能,2
最近,サイキン,名詞-普通名詞-副詞可能,1
せる,セル,助動詞,1
眠れ,ネムレ,動詞-一般,1
相手,アイテ,名詞-普通名詞-一般,1
目,メ,名詞-普通名詞-一般,1
探っ,サグッ,動詞-一般,1
皆,ミナ,名詞-普通名詞-副詞可能,1
的,テキ,接尾辞-形状詞的,1
あくび,アクビ,名詞-普通名詞-サ変可能,1
発酵,ハッコー,名詞-普通名詞-サ変可能,1
知る,シル,動詞-一般,1
そ,ソ,副詞,1
探る,サグル,動詞-一般,1
握りしめ,ニギリシメ,動詞-一般,1
そいつ,ソイツ,代名詞,1
放題,ホーダイ,名詞-普通名詞-一般,1
用,ヨー,名詞-普通名詞-一般,1
生き,イキ,動詞-一般,1
そう,ソー,接尾辞-名詞的-一般,1
生,ナマ,名詞-普通名詞-形状詞可能,1
ず,ズ,助動詞,1
砂,サ,接尾辞-名詞的-一般,1
掃除,ソージ,名詞-普通名詞-サ変可能,1
状態,ジョータイ,名詞-普通名詞-一般,1
細かい,コマカイ,形容詞-一般,1
素直,スナオ,形状詞-一般,1
手伝い,テツダイ,名詞-普通名詞-一般,1
すげぇ,スゲー,形容詞-一般,1
等,トー,接尾辞-名詞的-一般,1
押しつけ,オシツケ,動詞-一般,1
笑顔,エガオ,名詞-普通名詞-一般,1
すてき,ステキ,形状詞-一般,1
拾い物,ヒロイモノ,名詞-普通名詞-一般,1
すま,スマ,動詞-一般,1
立ち入り,タチイリ,動詞-一般,1
たく,タク,助動詞,1
空い,アイ,動詞-一般,1
捕らえる,トラエル,動詞-一般,1
すん,スン,動詞-一般,1
すん,スン,動詞-非自立可能,1
禁止,キンシ,名詞-普通名詞-サ変可能,1
礼,レー,名詞-普通名詞-一般,1
確認,カクニン,名詞-普通名詞-サ変可能,1
確か,タシカ,形状詞-一般,1
砂,スナ,名詞-普通名詞-一般,1
班,ハン,名詞-普通名詞-一般,1
そっと,ソット,副詞,1
物,モノ,名詞-普通名詞-サ変可能,1
様子,ヨース,名詞-普通名詞-一般,1
方法,ホーホー,名詞-普通名詞-一般,1
気付か,キズカ,動詞-一般,1
そりゃ,ソリャ,代名詞,1
残念,ザンネン,形状詞-一般,1
残っ,ノコッ,動詞-一般,1
死,シ,名詞-普通名詞-一般,1
そりゃあ,ソリャー,代名詞,1
正義,セーギ,名詞-普通名詞-一般,1
正体,ショータイ,名詞-普通名詞-一般,1
正しく,タダシク,形容詞-一般,1
おい,オイ,感動詞-一般,1
そんな,ソンナ,形状詞-一般,1
槍,ヤリ,名詞-普通名詞-一般,1
楽,ガク,接尾辞-名詞的-一般,1
早く,ハヤク,形容詞-一般,1
時,ジ,名詞-普通名詞-助数詞可能,1
来よう,コヨー,動詞-非自立可能,1
来い,コイ,動詞-非自立可能,1
暇,ヒマ,名詞-普通名詞-形状詞可能,1
来,キ,動詞-非自立可能,1
本物,ホンモノ,名詞-普通名詞-一般,1
未来,ミライ,名詞-普通名詞-一般,1
断崖,ダンガイ,名詞-普通名詞-一般,1
気味,キミ,名詞-普通名詞-一般,1
水,ミズ,名詞-普通名詞-一般,1
汚,オ,接頭辞,1
片づい,カタズイ,動詞-一般,1
あたし,アタシ,代名詞,1
煮,ニ,動詞-一般,1
照らす,テラス,動詞-一般,1
救っ,スクッ,動詞-一般,1
おいし,オイシ,形容詞-一般,1
炎,ホノー,名詞-普通名詞-一般,1
潜在,センザイ,名詞-普通名詞-サ変可能,1
湧い,ワイ,動詞-一般,1
深く,フカク,形容詞-一般,1
敵,テキ,名詞-普通名詞-一般,1
淋しい,サビシー,形容詞-一般,1
終わっ,オワッ,動詞-非自立可能,1
涙,ナミダ,名詞-普通名詞-サ変可能,1
消火,ショーカ,名詞-普通名詞-サ変可能,1
洗濯,センタク,名詞-普通名詞-サ変可能,1
そらさ,ソラサ,動詞-一般,1
泣い,ナイ,動詞-一般,1
決まり,キマリ,名詞-普通名詞-一般,1
文句,モンク,名詞-普通名詞-一般,1
汚い,キタナイ,形容詞-一般,1
まし,マシ,助動詞,1
腰,コシ,名詞-普通名詞-一般,1
すぎ,スギ,動詞-非自立可能,1
食っ,クッ,動詞-一般,1
食え,クエ,動詞-一般,1
食う,クー,動詞-一般,1
食い,クイ,動詞-一般,1
かかる,カカル,動詞-非自立可能,1
こら,コラ,感動詞-一般,1
顔,カオ,名詞-普通名詞-一般,1
かぁ,カー,助詞-終助詞,1
頼み,タノミ,動詞-一般,1
韻,イン,名詞-普通名詞-一般,1
こんな,コンナ,形状詞-一般,1
面倒,メンドー,名詞-普通名詞-形状詞可能,1
霧,キリ,名詞-普通名詞-一般,1
こんな,コンナ,連体詞,1
雷,カミナリ,名詞-普通名詞-一般,1
雑草,ザッソー,名詞-普通名詞-一般,1
隠れ,カクレ,動詞-一般,1
隙間,スキマ,名詞-普通名詞-一般,1
ごめん,ゴメン,名詞-普通名詞-一般,1
間,カン,接尾辞-名詞的-副詞可能,1
