surface,reading,romaji,pos,frequency
しゃ,シャ,sha,接尾辞-名詞的-一般,1
しか,シカ,shika,助詞-副助詞,1
ごく,ゴク,goku,副詞,1
こんな,コンナ,konna,連体詞,1
こんな,コンナ,konna,形状詞-一般,1
こん,コン,kon,代名詞,1
ぐらい,グライ,gurai,助詞-副助詞,1
こら,コラ,kora,感動詞-一般,1
ぐわっ,グワッ,guwatsu,副詞,1
けど,ケド,kedo,助詞-接続助詞,1
こっち,コッチ,kotchi,代名詞,1
こそ,コソ,koso,助詞-係助詞,1
こい,コイ,koi,動詞-非自立可能,1
せ,セ,se,動詞-非自立可能,1
そう,ソー,sou,名詞-助動詞語幹,1
でき,デキ,deki,動詞-非自立可能,1
そして,ソシテ,soshite,接続詞,1
かぁ,カー,kaa,助詞-終助詞,1
てっ,テッ,tetsu,助動詞,1
かげん,カゲン,kagen,名詞-普通名詞-サ変可能,1
つない,ツナイ,tsunai,動詞-一般,1
つけ,ツケ,tsuke,動詞-非自立可能,1
ついで,ツイデ,tsuide,名詞-普通名詞-一般,1
つい,ツイ,tsui,動詞-非自立可能,1
つい,ツイ,tsui,動詞-一般,1
つ,ツ,tsu,接尾辞-名詞的-助数詞,1
っから,ッカラ,kkara,助詞-格助詞,1
ちゃん,チャン,chan,接尾辞-名詞的-一般,1
ちゃう,チャウ,chau,助動詞,1
ちなみ,チナミ,chinami,名詞-普通名詞-一般,1
だら,ダラ,dara,助動詞,1
だっ,ダッ,datsu,助動詞,1
くすん,クスン,kusun,動詞-一般,1
たり,タリ,tari,助詞-副助詞,1
そんな,ソンナ,sonna,連体詞,1
そろそろ,ソロソロ,sorosoro,副詞,1
くれ,クレ,kure,動詞-非自立可能,1
そっち,ソッチ,sotchi,代名詞,1
やっぱり,ヤッパリ,yappari,副詞,1
やりゃ,ヤリャ,yarya,動詞-非自立可能,1
大食らい,オーグライ,taishoku,名詞-普通名詞-形状詞可能,1
信じ,シンジ,shinji,動詞-一般,1
出来事,デキゴト,dekigoto,名詞-普通名詞-一般,1
出せる,ダセル,dase,動詞-非自立可能,1
全然,ゼンゼン,zenzen,副詞,1
全て,スベテ,subete,名詞-普通名詞-副詞可能,1
入れ,イレ,ire,動詞-一般,1
入る,ハイル,iru,動詞-一般,1
入っ,ハイッ,itsutsu,動詞-一般,1
あの,アノ,ano,感動詞-フィラー,1
倒す,タオス,taosu,動詞-一般,1
倒し,タオシ,taoshi,動詞-一般,1
作用,サヨー,sayou,名詞-普通名詞-サ変可能,1
うわ,ウワ,uwa,感動詞-一般,1
こ,コ,ko,記号-一般,1
体つき,カラダツキ,karada,名詞-普通名詞-一般,1
似合い,ニアイ,niai,動詞-一般,1
伝っ,ツタッ,tsutatsu,動詞-一般,1
伝え,ツタエ,tsutae,動詞-一般,1
あわれ,アワレ,aware,名詞-普通名詞-形状詞可能,1
以上,イジョー,ijou,名詞-普通名詞-副詞可能,1
代わっ,カワッ,kawa,動詞-一般,1
代え,カエ,kae,動詞-一般,1
仏,フツ,hotoke,名詞-普通名詞-一般,1
分かち合う,ワカチアウ,waka,動詞-一般,1
分身,ブンシン,bunshin,名詞-普通名詞-一般,1
初め,ハジメ,hajime,名詞-普通名詞-副詞可能,1
刺す,サス,sasu,動詞-一般,1
大して,タイシテ,taishi,副詞,1
夢,ユメ,yume,名詞-普通名詞-一般,1
多,オーノ,ta,名詞-固有名詞-人名-姓,1
外れ,ハズレ,hazure,接尾辞-形状詞的,1
変わる,カワル,kawa,動詞-一般,1
あなた,アナタ,anata,代名詞,1
圧,アツ,atsu,名詞-普通名詞-一般,1
吹き抜ける,フキヌケル,fukinuke,動詞-一般,1
吸い取れ,スイトレ,sui,動詞-一般,1
君,クン,kun,接尾辞-名詞的-一般,1
名前,ナマエ,namae,名詞-普通名詞-一般,1
同じ,オナジ,onaji,連体詞,1
同じ,オナジ,onaji,形状詞-一般,1
合わ,アワ,awa,動詞-非自立可能,1
合い,アイ,ai,動詞-非自立可能,1
取り戻す,トリモドス,tori,動詞-一般,1
取っ,トッ,totsu,動詞-一般,1
勝利,ショーリ,shouri,名詞-普通名詞-サ変可能,1
勝てる,カテル,kate,動詞-一般,1
動け,ウゴケ,ugoke,動詞-一般,1
副,フク,fuku,接頭辞,1
